epoch,accuracy,loss,val_accuracy,val_loss
0,0.8627049326896667,0.44360485672950745,0.869767427444458,0.32957929372787476
1,0.8782786726951599,0.34085139632225037,0.8906976580619812,0.2403925657272339
2,0.9016393423080444,0.27525758743286133,0.934883713722229,0.2411985844373703
3,0.9135245680809021,0.2552179992198944,0.9255813956260681,0.1970074623823166
4,0.91557377576828,0.24102985858917236,0.930232584476471,0.1986580789089203
5,0.9184426069259644,0.22247152030467987,0.8441860675811768,0.3723534047603607
6,0.9196721315383911,0.22150510549545288,0.9023255705833435,0.3020086884498596
7,0.92909836769104,0.20202915370464325,0.9255813956260681,0.22924599051475525
8,0.9200819730758667,0.20603005588054657,0.8627907037734985,0.3217029571533203
9,0.9274590015411377,0.19338244199752808,0.9372093081474304,0.16766783595085144
10,0.9295082092285156,0.18396396934986115,0.9209302067756653,0.20994018018245697
11,0.9360655546188354,0.17995694279670715,0.9232558012008667,0.21000495553016663
12,0.9278688430786133,0.1972568929195404,0.9395349025726318,0.1745866984128952
13,0.9344262480735779,0.17815908789634705,0.9418604373931885,0.17089666426181793
14,0.9344262480735779,0.17159827053546906,0.9395349025726318,0.1618833988904953
15,0.938524603843689,0.16795766353607178,0.9418604373931885,0.15501393377780914
16,0.9393442869186401,0.1797764003276825,0.9441860318183899,0.16473880410194397
17,0.9430328011512756,0.16413433849811554,0.9418604373931885,0.16340848803520203
18,0.9426229596138,0.15728804469108582,0.9441860318183899,0.15307527780532837
19,0.9475409984588623,0.14843997359275818,0.9465116262435913,0.15766207873821259
20,0.9495901465415955,0.15157832205295563,0.9372093081474304,0.1695968210697174
21,0.9479508399963379,0.14594407379627228,0.9488372206687927,0.14661915600299835
22,0.9528688788414001,0.14361536502838135,0.930232584476471,0.20559844374656677
23,0.9549180269241333,0.13563606142997742,0.9465116262435913,0.1706305891275406
24,0.94590163230896,0.14919689297676086,0.9279069900512695,0.20349229872226715
25,0.9495901465415955,0.14304350316524506,0.9558139443397522,0.14689797163009644
26,0.9553278684616089,0.14294232428073883,0.9441860318183899,0.18939584493637085
27,0.9590163826942444,0.13042660057544708,0.960465133190155,0.17313599586486816
28,0.9512295126914978,0.1323525309562683,0.9418604373931885,0.16188712418079376
29,0.9508196711540222,0.13179059326648712,0.9418604373931885,0.18281784653663635
0,0.8631147742271423,0.4371659457683563,0.8581395149230957,0.33457010984420776
1,0.8963114619255066,0.3008619248867035,0.9139534831047058,0.2753649353981018
2,0.8852459192276001,0.32216763496398926,0.9209302067756653,0.2458588182926178
3,0.9036885499954224,0.2653474509716034,0.9279069900512695,0.24811528623104095
4,0.911475419998169,0.2516407072544098,0.9372093081474304,0.19857537746429443
5,0.91557377576828,0.23354922235012054,0.934883713722229,0.19549666345119476
6,0.9245901703834534,0.2200937420129776,0.9279069900512695,0.2299012541770935
7,0.9266393184661865,0.20354406535625458,0.6790697574615479,0.5488461256027222
8,0.922950804233551,0.20996049046516418,0.9372093081474304,0.18368680775165558
9,0.92909836769104,0.20028847455978394,0.9139534831047058,0.23860497772693634
10,0.9331967234611511,0.1917259246110916,0.9186046719551086,0.23231729865074158
11,0.9389344453811646,0.17798249423503876,0.8069767355918884,0.4118337333202362
12,0.938524603843689,0.19184519350528717,0.934883713722229,0.19605430960655212
13,0.939754068851471,0.1669090986251831,0.9116278886795044,0.2581043243408203
14,0.9372950792312622,0.17441624402999878,0.9418604373931885,0.18869902193546295
15,0.938524603843689,0.17295265197753906,0.9418604373931885,0.21350312232971191
16,0.939754068851471,0.17320141196250916,0.9325581192970276,0.19023263454437256
0,0.855327844619751,0.4621204435825348,0.8581395149230957,0.36942771077156067
1,0.8631147742271423,0.3413209915161133,0.8581395149230957,0.28793302178382874
2,0.8631147742271423,0.30710360407829285,0.8581395149230957,0.24800433218479156
3,0.9024590253829956,0.26406246423721313,0.8534883856773376,0.34656351804733276
4,0.9073770642280579,0.2615276873111725,0.9232558012008667,0.2006792575120926
5,0.91557377576828,0.23832710087299347,0.9093023538589478,0.1963510364294052
6,0.9172131419181824,0.23345519602298737,0.9325581192970276,0.2046295702457428
7,0.9176229238510132,0.21906520426273346,0.9372093081474304,0.1933891773223877
8,0.9295082092285156,0.20194995403289795,0.9186046719551086,0.2096657156944275
9,0.921721339225769,0.20056498050689697,0.9069767594337463,0.2447420209646225
10,0.9254098534584045,0.20074889063835144,0.930232584476471,0.17670433223247528
11,0.9311475157737732,0.18535533547401428,0.9023255705833435,0.22458507120609283
12,0.9266393184661865,0.1865391731262207,0.9395349025726318,0.17019259929656982
13,0.9270491600036621,0.19931690394878387,0.9465116262435913,0.16538235545158386
14,0.9344262480735779,0.18702322244644165,0.934883713722229,0.16363629698753357
15,0.9319671988487244,0.16880175471305847,0.9418604373931885,0.15166668593883514
16,0.9360655546188354,0.18155191838741302,0.9279069900512695,0.18125158548355103
17,0.9340164065361023,0.16708208620548248,0.9372093081474304,0.17193809151649475
18,0.9377049207687378,0.16275379061698914,0.9139534831047058,0.2199103981256485
19,0.9418032765388489,0.16527128219604492,0.9418604373931885,0.16824133694171906
20,0.9360655546188354,0.16295957565307617,0.9279069900512695,0.18703292310237885
21,0.9418032765388489,0.15705129504203796,0.934883713722229,0.15852677822113037
22,0.9446721076965332,0.15061886608600616,0.934883713722229,0.16829653084278107
23,0.9446721076965332,0.1452619880437851,0.9441860318183899,0.14708736538887024
24,0.9393442869186401,0.1573314219713211,0.9441860318183899,0.21279118955135345
25,0.9442622661590576,0.1520698368549347,0.8976744413375854,0.23687893152236938
26,0.9450819492340088,0.1475239247083664,0.9395349025726318,0.1543133407831192
27,0.9479508399963379,0.14270511269569397,0.9488372206687927,0.15816985070705414
28,0.9528688788414001,0.14062902331352234,0.9372093081474304,0.15899771451950073
29,0.9508196711540222,0.14677120745182037,0.9488372206687927,0.14562714099884033
30,0.949999988079071,0.13767947256565094,0.9279069900512695,0.1583334505558014
31,0.9557377099990845,0.13289034366607666,0.9511628150939941,0.15800710022449493
32,0.953278660774231,0.13518255949020386,0.9372093081474304,0.1517474502325058
33,0.953278660774231,0.1340751051902771,0.9418604373931885,0.16973525285720825
34,0.9565573930740356,0.12711092829704285,0.9395349025726318,0.1936270296573639
